"Nom","Prenom","code_joueur","code_temoin","code_public","points_citoyen","points_academie","points_videos"
"","","Harfang-Loyal-153","Suricate-Attentif-153","Carcajou-Hardi-153","0","0","0"
"","","Langur-Équilibré-154","Morse-Positif-154","Toucan-Coloré-154","0","0","0"
"","","Raton-Responsable-155","Koala-Explorateur-155","Iguane-Agile-155","0","0","0"
"","","Blaireau-Intègre-156","Cerf-Éthique-156","Élan-Majestueux-156","0","0","0"
"","","Léopard-Équilibré-157","Colibri-Bricoleur-157","Lynx-Boréal-157","0","0","0"
"","","Ibex-Calme-158","Serval-Joyeux-158","Guépard-Vitesse-158","0","0","0"
"","","Orque-Protecteur-159","Suricate-Calme-159","Morse-Calme-159","0","0","0"
"","","Phoque-Calme-160","Axolotl-Zen-160","Loutre-Joyeuse-160","0","0","0"
"","","Antilope-Bondissant-161","Marabout-Zen-161","Fennec-Curieux-161","0","0","0"
"","","Bouquetin-Malin-162","Lama-Joyeux-162","Panda-Savant-162","0","0","0"
"","","Quokka-Persévérant-163","Condor-Éveillé-163","Béluga-Souriant-163","0","0","0"
"","","Dingo-Rayonnant-164","Hocco-Clairvoyant-164","Caracal-Vif-164","0","0","0"
"","","Harfang-Amical-165","Canard-Loyal-165","Dhole-Agile-165","0","0","0"
"","","Ibex-Loyal-166","Lamantin-Fiable-166","Serval-Éclair-166","0","0","0"
"","","Kudu-Savoyard-167","Gnou-Serein-167","Ocelot-Discret-167","0","0","0"
"","","Girafe-Serein-168","Écureuil-Courageux-168","Wallaby-Hardi-168","0","0","0"
"","","Lama-Bondissant-169","Ours-Savoyard-169","Quokka-Heureux-169","0","0","0"
"","","Tapir-Honnête-170","Mouette-Joyeux-170","Wombat-Zen-170","0","0","0"
"","","Cachalot-Savoyard-171","Ibex-Explorateur-171","Koala-Dormeur-171","0","0","0"
"","","Kudu-Clairvoyant-172","Colibri-Gentil-172","Kangourou-Sport-172","0","0","0"
"","","Raton-Dynamique-173","Manchot-Courageux-173","Cygne-Royal-173","0","0","0"
"","","Ibex-Zen-174","Léopard-Inspiré-174","Héron-Calme-174","0","0","0"
"","","Gnou-Bondissant-175","Toucan-Clairvoyant-175","Martin-Pêcheur-175","0","0","0"
"","","Putois-Zélé-176","Loris-Solidaire-176","Pélican-Hardi-176","0","0","0"
"","","Fossa-Fiable-177","Husky-Loyal-177","Cormoran-Vif-177","0","0","0"
"","","Hocco-Honnête-178","Bouquetin-Bondissant-178","Albatros-Grand-178","0","0","0"
"","","Fossa-Juste-179","Axolotl-Juste-179","Goéland-Libre-179","0","0","0"
"","","Langur-Courageux-180","Bongo-Serein-180","Mouette-Rieuse-180","0","0","0"
"","","Zèbre-Inspiré-181","Baleine-Rayonnant-181","Macareux-Cool-181","0","0","0"
"","","Guépard-Explorateur-182","Mouflon-Responsable-182","Pingouin-Givré-182","0","0","0"
"","","Tapir-Protecteur-183","Hirondelle-Clairvoyant-183","Manchot-Hardi-183","0","0","0"
"","","Tapir-Vigilant-184","Tapir-Bondissant-184","Ours-Brun-184","0","0","0"
"","","Aigle-Loyal-185","Flamant-Équilibré-185","Loup-Gris-185","0","0","0"
"","","Saïga-Bondissant-186","Jaguar-Curieux-186","Renard-Roux-186","0","0","0"
"","","Fennec-Dynamique-187","Serval-Positif-187","Lynx-Roux-187","0","0","0"
"","","Serval-Solidaire-188","Cerf-Bricoleur-188","Puma-Vif-188","0","0","0"
"","","Hérisson-Amical-189","Ibex-Protecteur-189","Jaguar-Noir-189","0","0","0"
"","","Cheval-Malin-190","Singe-Curieux-190","Panthère-Agile-190","0","0","0"
"","","Faucon-Protecteur-191","Héron-Équilibré-191","Tigre-Blanc-191","0","0","0"
"","","Chacal-Patient-192","Tarsier-Vigilant-192","Lion-Noble-192","0","0","0"
"","","Condor-Patient-193","Panthère-Gentil-193","Hyène-Rieuse-193","0","0","0"
"","","Dingo-Intègre-194","Chamois-Vigilant-194","Chacal-Malin-194","0","0","0"
"","","Iguane-Zen-195","Caracal-Courageux-195","Dingo-Hardi-195","0","0","0"
"","","Singe-Amical-196","Gnou-Zen-196","Coyote-Vif-196","0","0","0"
"","","Chinchilla-Responsable-197","Flamant-Patient-197","Loup-Arctique-197","0","0","0"
"","","Harfang-Créatif-198","Walrus-Zen-198","Ours-Kodiak-198","0","0","0"
"","","Walrus-Solidaire-199","Renard-Optimiste-199","Panda-Géant-199","0","0","0"
"","","Saïga-Discret-200","Mangouste-Clairvoyant-200","Koala-Gris-200","0","0","0"
"","","Antilope-Intègre-201","Lapin-Équilibré-201","Daim-Élégant-201","0","0","0"
"","","Caracal-Inspiré-202","Gavial-Savoyard-202","Faucon-Solaire-202","0","0","0"
"","","Walrus-Gentil-203","Langur-Bricoleur-203","Loutre-Étoilée-203","0","0","0"
"","","Hérisson-Savoyard-204","Bouvreuil-Inspiré-204","Guépard-Serein-204","0","0","0"
"","","Guépard-Éveillé-205","Bongo-Positif-205","Hibou-Hardi-205","0","0","0"
"","","Tarsier-Joyeux-206","Tarsier-Patient-206","Marmotte-Vigie-206","0","0","0"
"","","Flamant-Rayonnant-207","Phoenix-Bondissant-207","Suricate-Leader-207","0","0","0"
"","","Loris-Serein-208","Mangouste-Éveillé-208","Lynx-Sage-208","0","0","0"
"","","Wallaby-Zélé-209","Loutre-Gentil-209","Aigle-Vaillant-209","0","0","0"
"","","Cigogne-Patient-210","Saïga-Discret-210","Loup-Céleste-210","0","0","0"
"","","Suricate-Serein-211","Tortue-Zélé-211","Ours-Pionnier-211","0","0","0"
"","","Élan-Zen-212","Hérisson-Agile-212","Panda-Rêveur-212","0","0","0"
"","","Koala-Malin-213","Mangouste-Éthique-213","Cerf-Agile-213","0","0","0"
"","","Aigle-Inspiré-214","Sitatunga-Serein-214","Écureuil-Explorateur-214","0","0","0"
"","","Harfang-Malin-215","Caribou-Éthique-215","Castor-Bâtisseur-215","0","0","0"
"","","Bouquetin-Malin-216","Bouquetin-Créatif-216","Dauphin-Éclair-216","0","0","0"
"","","Tarsier-Solidaire-217","Dingo-Savoyard-217","Baleine-Sage-217","0","0","0"
"","","Girafe-Inspiré-218","Hérisson-Fiable-218","Requin-Vif-218","0","0","0"
"","","Singe-Agile-219","Condor-Attentif-219","Raie-Discrète-219","0","0","0"
"","","Cachalot-Dynamique-220","Walrus-Fiable-220","Orque-Noble-220","0","0","0"
"","","Coyote-Dynamique-221","Hirondelle-Joyeux-221","Pingouin-Aventurier-221","0","0","0"
"","","Caméléon-Fiable-222","Cachalot-Solidaire-222","Manchot-Solidaire-222","0","0","0"
"","","Tamarin-Attentif-223","Caméléon-Savoyard-223","Pélican-Amical-223","0","0","0"
"","","Dauphin-Malin-224","Alpaga-Loyal-224","Cygne-Libre-224","0","0","0"
"","","Narval-Explorateur-225","Hippocampe-Courageux-225","Flamant-Joyeux-225","0","0","0"
"","","Castor-Intègre-226","Lémurien-Calme-226","Héron-Observateur-226","0","0","0"
"","","Narval-Rieuse-227","Baleine-Explorateur-227","Colibri-Hardi-227","0","0","0"
"","","Cerf-Joyeux-228","Manchot-Zen-228","Perroquet-Savant-228","0","0","0"
"","","Varan-Éveillé-229","Castor-Persévérant-229","Toucan-Joyeux-229","0","0","0"
"","","Cerf-Clairvoyant-230","Loutre-Rieuse-230","Aigrette-Calme-230","0","0","0"
"","","Élan-Patient-231","Rorqual-Protecteur-231","Hibou-Gardiens-231","0","0","0"
"","","Langur-Malin-232","Takin-Positif-232","Chouette-Éveillée-232","0","0","0"
"","","Bison-Créatif-233","Mouette-Vigilant-233","Aigle-Pêcheur-233","0","0","0"
"","","Bison-Positif-234","Jaguar-Bricoleur-234","Faucon-Chasseur-234","0","0","0"
"","","Pingouin-Amical-235","Kudu-Patient-235","Vautour-Sage-235","0","0","0"
"","","Wallaby-Serein-236","Axolotl-Équilibré-236","Cigogne-Fière-236","0","0","0"
"","","Lamantin-Clairvoyant-237","Lion-Explorateur-237","Ibis-Sacré-237","0","0","0"
"","","Panda-Serein-238","Serval-Joyeux-238","Paon-Majestueux-238","0","0","0"
"","","Singe-Vigilant-239","Baleine-Bricoleur-239","Faisan-Coloré-239","0","0","0"
"","","Mésange-Intègre-240","Flamant-Intègre-240","Perdrix-Agile-240","0","0","0"
"","","Dingo-Fiable-241","Lynx-Honnête-241","Caille-Discrète-241","0","0","0"
"","","Zèbre-Optimiste-242","Suricate-Gentil-242","Pigeon-Voyageur-242","0","0","0"
"","","Kudu-Fiable-243","Dingo-Juste-243","Tourterelle-Douce-243","0","0","0"
"","","Ours-Dynamique-244","Lapin-Amical-244","Coucou-Malin-244","0","0","0"
"","","Gavial-Honnête-245","Suricate-Zélé-245","Martinet-Rapide-245","0","0","0"
"","","Gavial-Optimiste-246","Tarsier-Serein-246","Colibri-Vif-246","0","0","0"
"","","Caméléon-Protecteur-247","Marmotte-Vigilant-247","Martin-Pêcheur-Zen-247","0","0","0"
"","","Perroquet-Discret-248","Léopard-Responsable-248","Guêpier-Hardi-248","0","0","0"
"","","Jaguar-Loyal-249","Pélican-Attentif-249","Huppe-Royale-249","0","0","0"
"","","Baleine-Curieux-250","Bongo-Persévérant-250","Pivert-Actif-250","0","0","0"
"","","Baleine-Rigoureux-251","Loutre-Curieux-251","Toucan-Pixel-251","0","0","0"
"","","Hippocampe-Solidaire-252","Ours-Intègre-252","Perroquet-Magic-252","0","0","0"
"","","Narval-Explorateur-253","Sitatunga-Rieuse-253","Lori-Joyeux-253","0","0","0"
"","","Wallaby-Solidaire-254","Ocelot-Rigoureux-254","Ara-Coloré-254","0","0","0"
"","","Fennec-Zen-255","Chamois-Fiable-255","Cacatoès-Vif-255","0","0","0"
"","","Hérisson-Amical-256","Kudu-Juste-256","Inséparable-Amical-256","0","0","0"
"","","Yak-Honnête-257","Ibex-Agile-257","Panda-Gamer-257","0","0","0"
"","","Toucan-Zélé-258","Bisonte-Savoyard-258","Koala-Tech-258","0","0","0"
"","","Serpent-Serein-259","Narval-Dynamique-259","Lémur-Curieux-259","0","0","0"
"","","Cachalot-Équilibré-260","Perroquet-Bondissant-260","Gibbon-Agile-260","0","0","0"
"","","Tortue-Solidaire-261","Hibiscus-Bricoleur-261","Chimpanzé-Malin-261","0","0","0"
"","","Chamois-Gentil-262","Cachalot-Courageux-262","Gorille-Fort-262","0","0","0"
"","","Dingo-Équilibré-263","Tortue-Positif-263","Orang-Outan-Sage-263","0","0","0"
"","","Chacal-Discret-264","Lapin-Persévérant-264","Macaque-Hardi-264","0","0","0"
"","","Raton-Inspiré-265","Colibri-Attentif-265","Babouin-Vif-265","0","0","0"
"","","Bouvreuil-Loyal-266","Colibri-Patient-266","Ouistiti-Joyeux-266","0","0","0"
"","","Iguane-Solidaire-267","Putois-Éveillé-267","Saïmiri-Agile-267","0","0","0"
"","","Varan-Équilibré-268","Husky-Solidaire-268","Capucin-Malin-268","0","0","0"
"","","Manchot-Discret-269","Quokka-Optimiste-269","Tamarin-Petit-269","0","0","0"
"","","Condor-Éveillé-270","Loutre-Vigilant-270","Atèle-Hardi-270","0","0","0"
"","","Bisonte-Clairvoyant-271","Babouin-Gentil-271","Hurleur-Fort-271","0","0","0"
"","","Guépard-Calme-272","Pingouin-Agile-272","Cébus-Actif-272","0","0","0"
"","","Antilope-Responsable-273","Serval-Fiable-273","Maki-Vif-273","0","0","0"
"","","Écureuil-Joyeux-274","Koala-Courageux-274","Indri-Grand-274","0","0","0"
"","","Faucon-Bondissant-275","Tarsier-Fiable-275","Sifaka-Bondissant-275","0","0","0"
"","","Pingouin-Protecteur-276","Zèbre-Rieuse-276","Aye-Aye-Mystère-276","0","0","0"
"","","Alpaga-Amical-277","Dauphin-Loyal-277","Tarsier-Vigile-277","0","0","0"
"","","Axolotl-Créatif-278","Gavial-Juste-278","Galago-Rapide-278","0","0","0"
"","","Alpaga-Fiable-279","Chinchilla-Clairvoyant-279","Loris-Lent-279","0","0","0"
"","","Cachalot-Positif-280","Bisonte-Calme-280","Potto-Hardi-280","0","0","0"
"","","Husky-Calme-281","Tamarin-Serein-281","Lémur-Catte-Zen-281","0","0","0"
"","","Husky-Rieuse-282","Pingouin-Joyeux-282","Microcèbe-Vif-282","0","0","0"
"","","Dingo-Honnête-283","Mésange-Attentif-283","Varis-Roux-283","0","0","0"
"","","Putois-Courageux-284","Hibiscus-Gentil-284","Propithèque-Saut-284","0","0","0"
"","","Singe-Clairvoyant-285","Coyote-Honnête-285","Maki-Mococo-285","0","0","0"
"","","Phoque-Amical-286","Baleine-Rieuse-286","Saïmiri-Jaune-286","0","0","0"
"","","Babouin-Serein-287","Macaque-Courageux-287","Cercopithèque-Vif-287","0","0","0"
"","","Pudu-Bondissant-288","Langur-Juste-288","Drill-Fort-288","0","0","0"
"","","Lynx-Responsable-289","Chamois-Vigilant-289","Mandrill-Coloré-289","0","0","0"
"","","Hibou-Juste-290","Manchot-Fiable-290","Gélada-Hardi-290","0","0","0"
"","","Phoenix-Curieux-291","Ocelot-Rieuse-291","Hamadryas-Noble-291","0","0","0"
"","","Bouvreuil-Clairvoyant-292","Pangolin-Créatif-292","Cynocéphale-Vif-292","0","0","0"
"","","Narval-Zen-293","Serpent-Malin-293","Mangabey-Agile-293","0","0","0"
"","","Iguane-Rieuse-294","Ibex-Explorateur-294","Colobe-Hardi-294","0","0","0"
"","","Putois-Rieuse-295","Singe-Agile-295","Nasique-Curieux-295","0","0","0"
"","","Condor-Gentil-296","Ocelot-Bricoleur-296","Entelle-Sage-296","0","0","0"
"","","Héron-Responsable-297","Perroquet-Patient-297","Langur-Doré-297","0","0","0"
"","","Varan-Éthique-298","Fossa-Positif-298","Douc-Coloré-298","0","0","0"
"","","Marmotte-Bricoleur-299","Serpent-Attentif-299","Rhinopithèque-Zen-299","0","0","0"
"","","Caribou-Savoyard-300","Aigle-Rieuse-300","Siamang-Fort-300","0","0","0"
"","","Caribou-Amical-301","Ours-Juste-301","Gibbon-Lar-Vif-301","0","0","0"
"","","Panthère-Explorateur-302","Quokka-Protecteur-302","Hoolock-Hardi-302","0","0","0"
"","","Tigre-Solidaire-303","Takin-Intègre-303","Nomascus-Noble-303","0","0","0"
"","","Fennec-Positif-304","Lamantin-Bricoleur-304","Bonobo-Amical-304","0","0","0"
"","","Pélican-Amical-305","Caméléon-Malin-305","Hominidé-Sage-305","0","0","0"
"","","Castor-Clairvoyant-306","Raton-Éthique-306","Aye-Aye-Vigile-306","0","0","0"
"","","Serval-Persévérant-307","Paresseux-Joyeux-307","Loris-Grêle-307","0","0","0"
"","","Caracal-Fiable-308","Lémurien-Rayonnant-308","Potto-Calme-308","0","0","0"
"","","Takin-Serein-309","Panda-Courageux-309","Galago-Sénégal-309","0","0","0"
"","","Antilope-Agile-310","Bison-Dynamique-310","Propithèque-Vif-310","0","0","0"
"","","Mouette-Équilibré-311","Toucan-Éveillé-311","Maki-Gris-311","0","0","0"
"","","Lapin-Clairvoyant-312","Serpent-Loyal-312","Varis-Noir-312","0","0","0"
"","","Perroquet-Serein-313","Lémurien-Protecteur-313","Indri-Vif-313","0","0","0"
"","","Tamarin-Vigilant-314","Alpaga-Solidaire-314","Sifaka-Coquerel-314","0","0","0"
"","","Mangouste-Curieux-315","Manchot-Discret-315","Lémur-Couronné-315","0","0","0"
"","","Ibex-Courageux-316","Héron-Rigoureux-316","Maki-Fauve-316","0","0","0"
"","","Dingo-Juste-317","Hibou-Rieuse-317","Microcèbe-Gris-317","0","0","0"
"","","Yak-Vigilant-318","Pudu-Rayonnant-318","Lépilémur-Hardi-318","0","0","0"
"","","Hocco-Créatif-319","Cachalot-Patient-319","Cheirogale-Vif-319","0","0","0"
"","","Hibou-Éveillé-320","Walrus-Positif-320","Hapalémur-Sage-320","0","0","0"
"","","Zèbre-Éveillé-321","Tortue-Zélé-321","Cébus-Capucin-321","0","0","0"
"","","Paon-Explorateur-322","Babouin-Solidaire-322","Saimiri-Bolivie-322","0","0","0"
"","","Mésange-Fiable-323","Husky-Inspiré-323","Atèle-Belzébuth-323","0","0","0"
"","","Gecko-Solidaire-324","Tigre-Loyal-324","Alouate-Roux-324","0","0","0"
"","","Paresseux-Rayonnant-325","Colibri-Rieuse-325","Pithecie-Hardi-325","0","0","0"
"","","Loris-Optimiste-326","Narval-Honnête-326","Uakari-Rouge-326","0","0","0"
"","","Tigre-Solidaire-327","Caribou-Protecteur-327","Chiroptère-Vif-327","0","0","0"
"","","Renard-Loyal-328","Suricate-Équilibré-328","Vampire-Hardi-328","0","0","0"
"","","Castor-Serein-329","Bouvreuil-Inspiré-329","Roussette-Sage-329","0","0","0"
"","","Loutre-Créatif-330","Zèbre-Courageux-330","Pipistrelle-Zen-330","0","0","0"
"","","Tamarin-Intègre-331","Phoenix-Calme-331","Oreillard-Vigile-331","0","0","0"
"","","Cacatoès-Explorateur-332","Chacal-Bricoleur-332","Noctule-Rapide-332","0","0","0"
"","","Bouvreuil-Clairvoyant-333","Gecko-Dynamique-333","Murin-Hardi-333","0","0","0"
"","","Kudu-Responsable-334","Hirondelle-Loyal-334","Molosse-Fort-334","0","0","0"
"","","Manchot-Protecteur-335","Gecko-Équilibré-335","Rhinolophe-Vif-335","0","0","0"
"","","Cheval-Optimiste-336","Gnou-Explorateur-336","Mégabate-Grand-336","0","0","0"
"","","Mouflon-Calme-337","Panda-Dynamique-337","Épauophore-Noble-337","0","0","0"
"","","Gavial-Zélé-338","Antilope-Clairvoyant-338","Ptérope-Vif-338","0","0","0"
"","","Harfang-Éveillé-339","Wallaby-Bondissant-339","Cynoptère-Hardi-339","0","0","0"
"","","Suricate-Optimiste-340","Zèbre-Gentil-340","Macroglosse-Petit-340","0","0","0"
"","","Cigogne-Rayonnant-341","Takin-Zélé-341","Harpyie-Vif-341","0","0","0"
"","","Canard-Optimiste-342","Ocelot-Loyal-342","Urubu-Noble-342","0","0","0"
"","","Léopard-Joyeux-343","Pudu-Bondissant-343","Condor-Grand-343","0","0","0"
"","","Phoenix-Loyal-344","Élan-Zen-344","Gypaète-Hardi-344","0","0","0"
"","","Cerf-Rayonnant-345","Quokka-Amical-345","Percnoptère-Sage-345","0","0","0"
"","","Corbeau-Bondissant-346","Guépard-Agile-346","Vautour-Fauve-346","0","0","0"
"","","Lamantin-Amical-347","Gavial-Curieux-347","Oricou-Fort-347","0","0","0"
"","","Ibex-Bricoleur-348","Tortue-Fiable-348","Caracara-Vif-348","0","0","0"
"","","Marmotte-Positif-349","Pélican-Rigoureux-349","Milan-Noir-349","0","0","0"
"","","Narval-Équilibré-350","Dauphin-Discret-350","Épervier-Agile-350","0","0","0"
"","","Vautour-Discret-351","Gavial-Protecteur-351","Autour-Hardi-351","0","0","0"
"","","Raton-Intègre-352","Héron-Rigoureux-352","Busard-Vif-352","0","0","0"
"","","Tapir-Rigoureux-353","Hirondelle-Savoyard-353","Buse-Variable-353","0","0","0"
"","","Gecko-Responsable-354","Corbeau-Responsable-354","Bondrée-Sage-354","0","0","0"
"","","Langur-Curieux-355","Saïga-Solidaire-355","Circaète-Fort-355","0","0","0"
"","","Rorqual-Inspiré-356","Quokka-Attentif-356","Balbuzard-Vif-356","0","0","0"
"","","Axolotl-Fiable-357","Colibri-Positif-357","Pygargue-Noble-357","0","0","0"
"","","Ocelot-Optimiste-358","Okapi-Calme-358","Aigle-Royal-Vif-358","0","0","0"
"","","Bongo-Optimiste-359","Zèbre-Courageux-359","Aigle-Botte-359","0","0","0"
"","","Quokka-Calme-360","Langur-Protecteur-360","Aigle-Criard-360","0","0","0"
"","","Baleine-Explorateur-361","Raton-Bricoleur-361","Aigle-Pomarin-361","0","0","0"
"","","Koala-Calme-362","Paresseux-Agile-362","Aigle-Ibérique-362","0","0","0"
"","","Vautour-Éveillé-363","Lémurien-Agile-363","Faucon-Pèlerin-363","0","0","0"
"","","Quokka-Bondissant-364","Fossa-Intègre-364","Faucon-Crécerelle-364","0","0","0"
"","","Cheval-Amical-365","Hibiscus-Optimiste-365","Faucon-Hobereau-365","0","0","0"
"","","Léopard-Bricoleur-366","Perroquet-Intègre-366","Faucon-Émerillon-366","0","0","0"
"","","Zèbre-Honnête-367","Tamarin-Persévérant-367","Faucon-Sacré-367","0","0","0"
"","","Koala-Rayonnant-368","Léopard-Curieux-368","Faucon-Gerfaut-368","0","0","0"
"","","Cheval-Malin-369","Hérisson-Serein-369","Caracara-Huppé-369","0","0","0"
"","","Hirondelle-Vigilant-370","Marmotte-Patient-370","Messager-Hardi-370","0","0","0"
"","","Coyote-Curieux-371","Marabout-Amical-371","Grue-Cendrée-371","0","0","0"
"","","Phoque-Rieuse-372","Gecko-Éveillé-372","Grue-Couronnée-372","0","0","0"
"","","Canard-Malin-373","Gecko-Dynamique-373","Grue-Du-Canada-373","0","0","0"
"","","Ocelot-Équilibré-374","Toucan-Discret-374","Grue-Antigone-374","0","0","0"
"","","Hibiscus-Éveillé-375","Pudu-Protecteur-375","Râle-D-Eau-375","0","0","0"
"","","Bison-Rayonnant-376","Loris-Loyal-376","Poule-D-Eau-376","0","0","0"
"","","Castor-Fiable-377","Loutre-Vigilant-377","Foulque-Macroule-377","0","0","0"
"","","Dingo-Savoyard-378","Alpaga-Attentif-378","Outarde-Canepetière-378","0","0","0"
"","","Loutre-Fiable-379","Tigre-Rayonnant-379","Grande-Outarde-379","0","0","0"
"","","Bongo-Honnête-380","Hippocampe-Inspiré-380","Vanneau-Huppé-380","0","0","0"
"","","Okapi-Courageux-381","Loris-Vigilant-381","Pluvier-Doré-381","0","0","0"
"","","Phoenix-Vigilant-382","Élan-Honnête-382","Grand-Gravelot-382","0","0","0"
"","","Lama-Persévérant-383","Lémurien-Zélé-383","Bécassine-Vif-383","0","0","0"
"","","Baleine-Clairvoyant-384","Perroquet-Fiable-384","Bécasse-Sage-384","0","0","0"
"","","Pangolin-Explorateur-385","Paon-Éthique-385","Courlis-Cendré-385","0","0","0"
"","","Singe-Rayonnant-386","Corbeau-Discret-386","Chevalier-Aboyeur-386","0","0","0"
"","","Gecko-Bondissant-387","Tarsier-Éveillé-387","Bécasseau-Vif-387","0","0","0"
"","","Suricate-Gentil-388","Bongo-Discret-388","Avocette-Noble-388","0","0","0"
"","","Walrus-Rayonnant-389","Cacatoès-Rieuse-389","Échasse-Blanche-389","0","0","0"
"","","Corbeau-Positif-390","Cachalot-Solidaire-390","Oedicnème-Hardi-390","0","0","0"
"","","Antilope-Attentif-391","Caribou-Inspiré-391","Glaréole-Vif-391","0","0","0"
"","","Caracal-Inspiré-392","Écureuil-Curieux-392","Goéland-Argenté-392","0","0","0"
"","","Narval-Bricoleur-393","Perroquet-Bricoleur-393","Goéland-Marin-393","0","0","0"
"","","Paresseux-Agile-394","Yak-Optimiste-394","Goéland-Leucophée-394","0","0","0"
"","","Jaguar-Éveillé-395","Faucon-Loyal-395","Mouette-Mélanocéphale-395","0","0","0"
"","","Ocelot-Solidaire-396","Chamois-Inspiré-396","Guifette-Noire-396","0","0","0"
